portfolio,n_months,AE_HN_mean,AE_TN_mean,AE_H1_mean,HN_converged,HN_loglik,HN_sigma_v,HN_sigma_u,HN_beta0,HN_beta_mkt,HN_beta_smb,HN_beta_hml,TN_converged,TN_loglik,TN_sigma_v,TN_sigma_u,TN_mu,TN_beta0,TN_beta_mkt,TN_beta_smb,TN_beta_hml
ME4 BM3,9758,0.9574355900324987,0.7763122352884323,0.8668739126604655,True,-38555.665254309555,12.581686902252176,0.054515937242959236,2.7298594126792985,1.452043264954063,-5.735516542876253,-3.741991214148728,True,220644.7181346413,5.862822802773256,0.3193905157509349,-2.4681170103906815,1.7588134864932403,1.4419795569081322,-5.737258450461049,-3.747092317491577
ME4 BM1,9758,0.9590708349949122,0.7629318085281155,0.8610013217615138,True,-38993.419680839324,13.15861829469794,0.05237702805250892,2.8797722252837716,1.6875402650903097,-6.045363324395035,-4.471157369807223,True,225214.91872987177,7.296267154195409,0.34070600369933,-2.397049157748611,1.931194624677085,1.677601420530799,-6.04748374420644,-4.476089079636299
ME4 BM4,9758,0.9594797099475484,0.76144941749296,0.8604645637202543,True,-38522.731606223126,12.540365431942321,0.051842883124842386,2.7154431362591014,1.4010298505201284,-5.90941050621653,-3.590369317297325,True,221740.34175487366,6.0235451772526805,0.34381258208686205,-2.419209104823021,1.7577438073028357,1.3910246537152164,-5.911494247702781,-3.595291035499547
ME3 BM3,9758,0.9821303454158498,0.7282972953995253,0.8552138204076876,True,-29377.43618848244,4.911830473435229,0.022599163344212157,1.1554872631376176,0.6919249822682827,-2.1618068052273234,-1.628181187994411,True,240051.0609842597,4.452085129657853,0.4009331310754316,-2.8203691269114604,-1.0342734599133558,0.6650208548141181,-2.1673426842609453,-1.6400992608795923
ME4 BM2,9758,0.9482109704146542,0.7611323993360589,0.8546716848753565,True,-38470.802657848806,12.47256076920766,0.0666504531698536,2.7609759082780387,1.460794699192897,-5.7418787540360325,-4.074444138693052,True,221173.54383063124,5.883533570805029,0.3444424999610473,-2.4241840521382603,1.7964796250291157,1.4495969399478257,-5.745046902576625,-4.080485061354156
ME3 BM2,9758,0.9807187073713951,0.7281650488095224,0.8544418780904587,True,-29627.682729108,5.039725575652283,0.02440194310508901,1.1826273937935856,0.7254795288127546,-2.2077573078575763,-1.641675898191925,True,239983.94708529534,4.926036784683033,0.3992041092057487,-2.831368988043601,-1.46595692733874,0.6864378167128468,-2.2182415470693133,-1.659215316595564
ME4 BM5,9758,0.9441746194144081,0.7628606464923744,0.8535176329533912,True,-39011.200945497694,13.183195950879709,0.07199712071087429,2.7843312529073394,1.5415965054970866,-6.111963252568192,-3.6866475958396885,True,230612.30323365476,13.178693504748397,0.3393346761521392,-2.400676591076155,0.32816104295762194,1.5100423880932756,-6.12041634220657,-3.706573333315179
ME3 BM1,9758,0.9823361267596757,0.7231091709599192,0.8527226488597975,True,-29650.989859367248,5.051541121987483,0.022336552790018314,1.1915647518521182,0.7962361756632449,-2.241108334095564,-1.7959395970942116,True,239956.64500352176,4.918934313516303,0.40812548948893995,-2.871795293298236,-1.4673074099857064,0.7597396688255305,-2.250088672789166,-1.8117481846086583
ME3 BM4,9758,0.9776581676852546,0.7269269945428173,0.8522925811140358,True,-29479.909178690657,4.963708687768605,0.02831953555072018,1.1577027064882632,0.7598995352995602,-2.2067626598199195,-1.5731100628930101,True,240023.08632064943,4.691497415893745,0.4030090113680844,-2.8440809232339777,-1.0597818470930442,0.7272578489245013,-2.2152670385970015,-1.5869372988483488
ME1 BM3,9758,0.9949374542097001,0.6796754937452308,0.8373064739774655,True,-13521.911058635502,0.9673207101191451,0.0063612753196565655,0.3636599933631717,0.25169703423280027,0.04014966623520945,-0.13023161877437148,True,256101.58786312444,0.7646431748802813,0.5925026916103864,-8.083452670420428,-7.724814576840181,0.25422183545844174,0.04761654931237579,-0.14860799852727258
