Quintile,Stay,Improve,Deteriorate
1,0.8749688667496887,0.0,0.1250311332503111
2,0.687920298879203,0.0684931506849315,0.2435865504358654
3,0.6204234122042341,0.19825653798256532,0.18132004981320038
4,0.639601494396015,0.2077210460772103,0.1526774595267745
5,0.7668742216687422,0.2331257783312577,0.0
