date_t,date_t_plus_h,horizon,spearman_rho
1928-01-31 23:59:59.999999999,1928-03-31 23:59:59.999999999,1,0.816923076923077
1928-03-31 23:59:59.999999999,1928-05-31 23:59:59.999999999,1,0.8038461538461538
1928-05-31 23:59:59.999999999,1928-07-31 23:59:59.999999999,1,0.883076923076923
1928-07-31 23:59:59.999999999,1928-09-30 23:59:59.999999999,1,0.8715384615384615
1928-09-30 23:59:59.999999999,1928-11-30 23:59:59.999999999,1,0.9484615384615385
1928-11-30 23:59:59.999999999,1929-01-31 23:59:59.999999999,1,0.8107692307692308
1929-01-31 23:59:59.999999999,1929-03-31 23:59:59.999999999,1,0.5446153846153846
1929-03-31 23:59:59.999999999,1929-05-31 23:59:59.999999999,1,0.7207692307692307
1929-05-31 23:59:59.999999999,1929-07-31 23:59:59.999999999,1,0.5907692307692308
1929-07-31 23:59:59.999999999,1929-09-30 23:59:59.999999999,1,0.9453846153846153
1929-09-30 23:59:59.999999999,1929-11-30 23:59:59.999999999,1,0.9138461538461539
1929-11-30 23:59:59.999999999,1930-01-31 23:59:59.999999999,1,0.8784615384615384
1930-01-31 23:59:59.999999999,1930-02-28 23:59:59.999999999,1,0.7023076923076923
1930-02-28 23:59:59.999999999,1930-04-30 23:59:59.999999999,1,0.9876923076923078
1930-04-30 23:59:59.999999999,1930-06-30 23:59:59.999999999,1,0.9592307692307691
1930-06-30 23:59:59.999999999,1930-08-31 23:59:59.999999999,1,0.7792307692307692
1930-08-31 23:59:59.999999999,1930-10-31 23:59:59.999999999,1,0.8976923076923078
1930-10-31 23:59:59.999999999,1930-12-31 23:59:59.999999999,1,0.943076923076923
1930-12-31 23:59:59.999999999,1931-01-31 23:59:59.999999999,1,0.9184615384615386
1931-01-31 23:59:59.999999999,1931-02-28 23:59:59.999999999,1,0.5423076923076924
1931-02-28 23:59:59.999999999,1931-04-30 23:59:59.999999999,1,0.816923076923077
1931-04-30 23:59:59.999999999,1931-06-30 23:59:59.999999999,1,0.8769230769230769
1931-06-30 23:59:59.999999999,1931-08-31 23:59:59.999999999,1,0.67
1931-08-31 23:59:59.999999999,1931-10-31 23:59:59.999999999,1,0.8315384615384616
1931-10-31 23:59:59.999999999,1931-12-31 23:59:59.999999999,1,0.9576923076923078
1931-12-31 23:59:59.999999999,1932-01-31 23:59:59.999999999,1,0.9630769230769232
1932-01-31 23:59:59.999999999,1932-02-29 23:59:59.999999999,1,0.9630769230769232
1932-02-29 23:59:59.999999999,1932-04-30 23:59:59.999999999,1,0.9761538461538463
1932-04-30 23:59:59.999999999,1932-06-30 23:59:59.999999999,1,0.95
1932-06-30 23:59:59.999999999,1932-08-31 23:59:59.999999999,1,0.4553846153846154
1932-08-31 23:59:59.999999999,1932-10-31 23:59:59.999999999,1,0.7338461538461539
1932-10-31 23:59:59.999999999,1932-12-31 23:59:59.999999999,1,0.5353846153846153
1932-12-31 23:59:59.999999999,1933-01-31 23:59:59.999999999,1,0.49846153846153846
1933-01-31 23:59:59.999999999,1933-03-31 23:59:59.999999999,1,0.83
1933-03-31 23:59:59.999999999,1933-05-31 23:59:59.999999999,1,0.8946153846153846
1933-05-31 23:59:59.999999999,1933-07-31 23:59:59.999999999,1,0.8853846153846154
1933-07-31 23:59:59.999999999,1933-09-30 23:59:59.999999999,1,0.9415384615384615
1933-09-30 23:59:59.999999999,1933-11-30 23:59:59.999999999,1,0.9084615384615384
1933-11-30 23:59:59.999999999,1934-01-31 23:59:59.999999999,1,0.883846153846154
1934-01-31 23:59:59.999999999,1934-03-31 23:59:59.999999999,1,0.9015384615384615
1934-03-31 23:59:59.999999999,1934-05-31 23:59:59.999999999,1,0.8930769230769231
1934-05-31 23:59:59.999999999,1934-07-31 23:59:59.999999999,1,0.8953846153846154
1934-07-31 23:59:59.999999999,1934-09-30 23:59:59.999999999,1,0.6353846153846153
1934-09-30 23:59:59.999999999,1934-11-30 23:59:59.999999999,1,0.5192307692307693
1934-11-30 23:59:59.999999999,1935-01-31 23:59:59.999999999,1,0.6153846153846153
1935-01-31 23:59:59.999999999,1935-03-31 23:59:59.999999999,1,0.3661538461538461
1935-03-31 23:59:59.999999999,1935-05-31 23:59:59.999999999,1,0.8492307692307692
1935-05-31 23:59:59.999999999,1935-07-31 23:59:59.999999999,1,0.7076923076923076
1935-07-31 23:59:59.999999999,1935-09-30 23:59:59.999999999,1,0.47
1935-09-30 23:59:59.999999999,1935-11-30 23:59:59.999999999,1,0.14846153846153848
1935-11-30 23:59:59.999999999,1936-01-31 23:59:59.999999999,1,0.8369230769230769
1936-01-31 23:59:59.999999999,1936-02-29 23:59:59.999999999,1,0.49615384615384617
1936-02-29 23:59:59.999999999,1936-04-30 23:59:59.999999999,1,0.7430769230769232
1936-04-30 23:59:59.999999999,1936-06-30 23:59:59.999999999,1,0.7384615384615385
1936-06-30 23:59:59.999999999,1936-08-31 23:59:59.999999999,1,0.7899999999999999
1936-08-31 23:59:59.999999999,1936-10-31 23:59:59.999999999,1,0.7361538461538463
1936-10-31 23:59:59.999999999,1936-12-31 23:59:59.999999999,1,0.7884615384615384
1936-12-31 23:59:59.999999999,1937-01-31 23:59:59.999999999,1,0.6723076923076923
1937-01-31 23:59:59.999999999,1937-02-28 23:59:59.999999999,1,0.4707692307692308
1937-02-28 23:59:59.999999999,1937-04-30 23:59:59.999999999,1,0.9561538461538461
1937-04-30 23:59:59.999999999,1937-06-30 23:59:59.999999999,1,0.7976923076923076
1937-06-30 23:59:59.999999999,1937-08-31 23:59:59.999999999,1,0.8338461538461539
1937-08-31 23:59:59.999999999,1937-10-31 23:59:59.999999999,1,0.9615384615384615
1937-10-31 23:59:59.999999999,1937-12-31 23:59:59.999999999,1,0.98
1937-12-31 23:59:59.999999999,1938-01-31 23:59:59.999999999,1,0.9661538461538461
1938-01-31 23:59:59.999999999,1938-02-28 23:59:59.999999999,1,0.9784615384615385
1938-02-28 23:59:59.999999999,1938-04-30 23:59:59.999999999,1,0.9661538461538461
1938-04-30 23:59:59.999999999,1938-06-30 23:59:59.999999999,1,0.9730769230769231
