window_end,portfolio,AE_H1_mean
1928-01-31 23:59:59.999999999,BIG HiBM,0.9202283602856166
1928-01-31 23:59:59.999999999,BIG HiBM,0.9232081287291959
1928-03-31 23:59:59.999999999,BIG HiBM,0.8819432799108703
1928-05-31 23:59:59.999999999,BIG HiBM,0.8821426282138284
1928-07-31 23:59:59.999999999,BIG HiBM,0.9231108729921286
1928-09-30 23:59:59.999999999,BIG HiBM,0.9236435080014028
1928-11-30 23:59:59.999999999,BIG HiBM,0.9162441350420972
1929-01-31 23:59:59.999999999,BIG HiBM,0.8841524593101509
1929-01-31 23:59:59.999999999,BIG HiBM,0.9153832425645078
1929-03-31 23:59:59.999999999,BIG HiBM,0.842151541340042
1929-05-31 23:59:59.999999999,BIG HiBM,0.8620645308927996
1929-07-31 23:59:59.999999999,BIG HiBM,0.8497373243105497
1929-09-30 23:59:59.999999999,BIG HiBM,0.8288023740631424
1929-11-30 23:59:59.999999999,BIG HiBM,0.8049277784204201
1930-01-31 23:59:59.999999999,BIG HiBM,0.7627469636079955
1930-02-28 23:59:59.999999999,BIG HiBM,0.7883931464743312
1930-04-30 23:59:59.999999999,BIG HiBM,0.7820388557875443
1930-06-30 23:59:59.999999999,BIG HiBM,0.7482280349916849
1930-08-31 23:59:59.999999999,BIG HiBM,0.7912661396610697
1930-10-31 23:59:59.999999999,BIG HiBM,0.7528653426223973
1930-12-31 23:59:59.999999999,BIG HiBM,0.7596402116086696
1931-01-31 23:59:59.999999999,BIG HiBM,0.7995747193417547
1931-02-28 23:59:59.999999999,BIG HiBM,0.9102747264999678
1931-04-30 23:59:59.999999999,BIG HiBM,0.8557977209107548
1931-06-30 23:59:59.999999999,BIG HiBM,0.8396464805981138
1931-08-31 23:59:59.999999999,BIG HiBM,0.9187932966226288
1931-10-31 23:59:59.999999999,BIG HiBM,0.9318315480116977
1931-12-31 23:59:59.999999999,BIG HiBM,0.9367716811651657
1932-01-31 23:59:59.999999999,BIG HiBM,0.9427122209286447
1932-02-29 23:59:59.999999999,BIG HiBM,0.9440001970101141
1932-04-30 23:59:59.999999999,BIG HiBM,0.9374114655772203
1932-06-30 23:59:59.999999999,BIG HiBM,0.9415748202362053
1932-08-31 23:59:59.999999999,BIG HiBM,0.9368629094508376
1932-10-31 23:59:59.999999999,BIG HiBM,0.8998471236143566
1932-12-31 23:59:59.999999999,BIG HiBM,0.9356645130270809
1933-01-31 23:59:59.999999999,BIG HiBM,0.934574933629733
1933-03-31 23:59:59.999999999,BIG HiBM,0.9380299149439547
1933-05-31 23:59:59.999999999,BIG HiBM,0.9387079222544069
1933-07-31 23:59:59.999999999,BIG HiBM,0.9514859355057036
1933-09-30 23:59:59.999999999,BIG HiBM,0.9493528116151967
1933-11-30 23:59:59.999999999,BIG HiBM,0.9489421258820141
1934-01-31 23:59:59.999999999,BIG HiBM,0.9536327746546606
1934-01-31 23:59:59.999999999,BIG HiBM,0.964564815343948
1934-03-31 23:59:59.999999999,BIG HiBM,0.9585388603835528
1934-05-31 23:59:59.999999999,BIG HiBM,0.9486239024868013
1934-07-31 23:59:59.999999999,BIG HiBM,0.9534779679292107
1934-09-30 23:59:59.999999999,BIG HiBM,0.9479354779420756
1934-11-30 23:59:59.999999999,BIG HiBM,0.9493753278933238
1935-01-31 23:59:59.999999999,BIG HiBM,0.947233122961358
1935-01-31 23:59:59.999999999,BIG HiBM,0.9423156620260159
1935-03-31 23:59:59.999999999,BIG HiBM,0.9476592586193926
1935-05-31 23:59:59.999999999,BIG HiBM,0.9485207465905963
1935-07-31 23:59:59.999999999,BIG HiBM,0.9520716433199944
1935-09-30 23:59:59.999999999,BIG HiBM,0.9492790801202344
1935-11-30 23:59:59.999999999,BIG HiBM,0.9488022158718038
1936-01-31 23:59:59.999999999,BIG HiBM,0.9466871499437881
1936-02-29 23:59:59.999999999,BIG HiBM,0.9426040456199163
1936-04-30 23:59:59.999999999,BIG HiBM,0.9423029429434464
1936-06-30 23:59:59.999999999,BIG HiBM,0.9300960770148318
1936-08-31 23:59:59.999999999,BIG HiBM,0.9215043543377331
1936-10-31 23:59:59.999999999,BIG HiBM,0.8782471329336095
1936-12-31 23:59:59.999999999,BIG HiBM,0.9115782943658303
1937-01-31 23:59:59.999999999,BIG HiBM,0.8692809687445562
1937-02-28 23:59:59.999999999,BIG HiBM,0.9282161127126421
1937-04-30 23:59:59.999999999,BIG HiBM,0.8474932615825657
1937-06-30 23:59:59.999999999,BIG HiBM,0.831016946677174
1937-08-31 23:59:59.999999999,BIG HiBM,0.7795415845648711
1937-10-31 23:59:59.999999999,BIG HiBM,0.7746014500734982
1937-12-31 23:59:59.999999999,BIG HiBM,0.7744342818293243
1938-01-31 23:59:59.999999999,BIG HiBM,0.7885633059961421
1938-02-28 23:59:59.999999999,BIG HiBM,0.8231468731268599
1938-04-30 23:59:59.999999999,BIG HiBM,0.7995999572360745
1938-06-30 23:59:59.999999999,BIG HiBM,0.8450641626997791
1938-08-31 23:59:59.999999999,BIG HiBM,0.8520154564691925
1938-10-31 23:59:59.999999999,BIG HiBM,0.8700742069050824
1938-12-31 23:59:59.999999999,BIG HiBM,0.8534603874266266
1939-01-31 23:59:59.999999999,BIG HiBM,0.8825842152268116
1939-03-31 23:59:59.999999999,BIG HiBM,0.9233859358971479
1939-05-31 23:59:59.999999999,BIG HiBM,0.9260922987294631
1939-07-31 23:59:59.999999999,BIG HiBM,0.9290743663301886
1939-09-30 23:59:59.999999999,BIG HiBM,0.9299544236975789
1939-11-30 23:59:59.999999999,BIG HiBM,0.9304777538975806
1940-01-31 23:59:59.999999999,BIG HiBM,0.9312477508295406
1940-01-31 23:59:59.999999999,BIG HiBM,0.8813916632205872
1940-03-31 23:59:59.999999999,BIG HiBM,0.9283268208665315
1940-05-31 23:59:59.999999999,BIG HiBM,0.9278423060586167
1940-07-31 23:59:59.999999999,BIG HiBM,0.9302532528306268
1940-09-30 23:59:59.999999999,BIG HiBM,0.9325374825499868
1940-11-30 23:59:59.999999999,BIG HiBM,0.8828324368675374
1941-01-31 23:59:59.999999999,BIG HiBM,0.9324354556103696
1941-01-31 23:59:59.999999999,BIG HiBM,0.9332595728760907
1941-03-31 23:59:59.999999999,BIG HiBM,0.8794366735297015
1941-05-31 23:59:59.999999999,BIG HiBM,0.9337267747965899
1941-07-31 23:59:59.999999999,BIG HiBM,0.9360434851023499
1941-09-30 23:59:59.999999999,BIG HiBM,0.8796119150676336
1941-11-30 23:59:59.999999999,BIG HiBM,0.9458214704744404
1942-01-31 23:59:59.999999999,BIG HiBM,0.9464816180270608
1942-02-28 23:59:59.999999999,BIG HiBM,0.9490498374007861
1942-04-30 23:59:59.999999999,BIG HiBM,0.9460624761116684
1942-06-30 23:59:59.999999999,BIG HiBM,0.945571699941977
1942-08-31 23:59:59.999999999,BIG HiBM,0.9476509145336668
1942-10-31 23:59:59.999999999,BIG HiBM,0.9488857963016033
1942-12-31 23:59:59.999999999,BIG HiBM,0.948694446884173
1943-01-31 23:59:59.999999999,BIG HiBM,0.9457679127308207
1943-02-28 23:59:59.999999999,BIG HiBM,0.9449399023602117
1943-04-30 23:59:59.999999999,BIG HiBM,0.9538682140013551
1943-06-30 23:59:59.999999999,BIG HiBM,0.9325086998826702
1943-08-31 23:59:59.999999999,BIG HiBM,0.9320213079846612
1943-10-31 23:59:59.999999999,BIG HiBM,0.9289188537362898
1943-12-31 23:59:59.999999999,BIG HiBM,0.9277625933911124
1944-01-31 23:59:59.999999999,BIG HiBM,0.926312846950669
1944-02-29 23:59:59.999999999,BIG HiBM,0.9264295004892722
1944-04-30 23:59:59.999999999,BIG HiBM,0.9259667127367315
1944-06-30 23:59:59.999999999,BIG HiBM,0.92585617812124
1944-08-31 23:59:59.999999999,BIG HiBM,0.9239998787007772
1944-10-31 23:59:59.999999999,BIG HiBM,0.8841162396025581
1944-12-31 23:59:59.999999999,BIG HiBM,0.9215869550872464
1945-01-31 23:59:59.999999999,BIG HiBM,0.9192010216884386
1945-03-31 23:59:59.999999999,BIG HiBM,0.9166419993993483
1945-05-31 23:59:59.999999999,BIG HiBM,0.8473869972355744
1945-07-31 23:59:59.999999999,BIG HiBM,0.8292029004917784
1945-09-30 23:59:59.999999999,BIG HiBM,0.8348380614475943
1945-11-30 23:59:59.999999999,BIG HiBM,0.9307351378946866
1946-01-31 23:59:59.999999999,BIG HiBM,0.8460176342875326
1946-01-31 23:59:59.999999999,BIG HiBM,0.837824162366373
1946-03-31 23:59:59.999999999,BIG HiBM,0.8249222039770245
1946-05-31 23:59:59.999999999,BIG HiBM,0.8020253469489286
1946-07-31 23:59:59.999999999,BIG HiBM,0.8708792876017689
1946-09-30 23:59:59.999999999,BIG HiBM,0.7660962456520849
1946-11-30 23:59:59.999999999,BIG HiBM,0.7643945070083068
1947-01-31 23:59:59.999999999,BIG HiBM,0.7665245405072464
1947-01-31 23:59:59.999999999,BIG HiBM,0.7653334970033493
1947-03-31 23:59:59.999999999,BIG HiBM,0.764059239582064
1947-05-31 23:59:59.999999999,BIG HiBM,0.7624091091496614
1947-07-31 23:59:59.999999999,BIG HiBM,0.764243574991908
1947-09-30 23:59:59.999999999,BIG HiBM,0.7638105886436665
1947-11-30 23:59:59.999999999,BIG HiBM,0.762921821567997
1948-01-31 23:59:59.999999999,BIG HiBM,0.7633369030902788
1948-02-29 23:59:59.999999999,BIG HiBM,0.7912857536631194
1948-04-30 23:59:59.999999999,BIG HiBM,0.7877681572823867
1948-06-30 23:59:59.999999999,BIG HiBM,0.7625995134841568
1948-08-31 23:59:59.999999999,BIG HiBM,0.7901915211535184
1948-10-31 23:59:59.999999999,BIG HiBM,0.7871969912824245
1948-12-31 23:59:59.999999999,BIG HiBM,0.7851569495088208
1949-01-31 23:59:59.999999999,BIG HiBM,0.7443486122382201
