window_left,window_right,n_common_observations,rank_correlation,AE_correlation,top_quintile_jaccard,bottom_quintile_jaccard
60,120,165,0.12415528563371364,0.1808330377574019,0.3153439153439153,0.13800705467372135
60,180,165,0.020559737094014197,0.2555614956769225,0.12447089947089947,0.23253968253968255
120,180,188,0.5463688264689469,0.685316572738109,0.41534391534391535,0.2980599647266314
